Title,Date,Duration,Genres,Director,Crew,Synopsis,Note_Ac,User_score_2
Moi capitaine,3 janvier 2024,2h 02min,[],N/A,"['Seydou Sarr', 'Moustapha Fall']","Seydou et Moussa, deux jeunes sénégalais de 16 ans, décident de quitter leur terre natale pour rejoindre l’Europe. Mais sur leur chemin les rêves et les espoirs d’une vie meilleure sont très vite anéantis par les dangers de ce périple. Leur seule arme dans cette odyssée restera leur humanité.","3,0","4,0"
Making Of,10 janvier 2024,1h 54min,[],N/A,"['Denis Podalydès', 'Jonathan Cohen']","Simon, réalisateur aguerri, débute le tournage d’un film racontant le combat d’ouvriers pour sauver leur usine. Mais entre les magouilles de son producteur, des acteurs incontrôlables et des techniciens à cran, il est vite dépassé par les événements.","3,7","3,3"
Saltburn,22 décembre 2023,2h 07min,[],N/A,"['Barry Keoghan', 'Jacob Elordi']","L'étudiant Oliver Quick, qui peine à trouver sa place à l'université d'Oxford, se retrouve entraîné dans le monde du charmant et aristocratique Felix Catton, qui l'invite à Saltburn, le vaste domaine de sa famille excentrique, pour un été qu'il n'oubliera pas de sitôt.","2,9","3,5"
La Fille de son père,20 décembre 2023,1h 31min,[],N/A,"['Nahuel Perez Biscayart', 'Céleste Brunnquell']","Etienne a vingt ans à peine lorsqu'il tombe amoureux de Valérie, et guère plus lorsque naît leur fille Rosa. Le jour où Valérie les abandonne, Etienne choisit de ne pas en faire un drame. Etienne et Rosa se construisent une vie heureuse. Seize ans plus tard, alors que Rosa doit partir étudier et qu’il faut se séparer pour chacun vivre sa vie, le passé ressurgit.","3,9","3,4"
Le Cercle des neiges,4 janvier 2024,2h 24min,[],N/A,"['Enzo Vogrincic Roldán', 'Simón Hempe']","En 1972, un avion uruguayen s'écrase en plein cœur des Andes. Les survivants ne peuvent compter que les uns sur les autres pour réchapper au crash.","3,8","4,2"
Les Colons,20 décembre 2023,1h 40min,[],N/A,"['Mark Stanley', 'Camilo Arancibia']","Terre de Feu, République du Chili, 1901. Trois cavaliers sont engagés par un riche propriétaire terrien, José Menendez, pour déposséder les populations autochtones de leurs terres et ouvrir une route vers l’Atlantique.","3,7","3,6"
Night Swim,3 janvier 2024,1h 39min,[],N/A,"['Wyatt Russell', 'Kerry Condon']","Ray Waller est un ancien joueur de football américain qui a dû abandonner sa carrière en raison d’une maladie dégénérative, lors de son emménagement dans une nouvelle maison, avec sa famille : sa femme Eve, leur fille Izzy et leur plus jeune fils. Ray ne désespère pas de reprendre sa carrière et persuade toute la famille que la piscine qui se trouve dans le jardin sera parfaite pour sa rééducation et pour ses enfants.","2,3","1,9"
Soudain seuls,6 décembre 2023,1h 51min,[],N/A,"['Gilles Lellouche', 'Mélanie Thierry']","En couple depuis 5 ans, Ben et Laura ont décidé de faire le tour du monde en bateau. Avant d'atteindre l'Amérique du Sud, ils font un détour vers une île sauvage, près des côtes antarctiques. En pleine exploration, une tempête s'abat sur eux et leur bateau disparaît. Éloignés du monde, soudain seuls face au danger et à l'hiver qui approche, ils vont devoir lutter pour leur survie et celle de leur couple.","3,4","3,5"
La Vie rêvée de Miss Fran,10 janvier 2024,1h 31min,[],N/A,"['Daisy Ridley', 'Dave Merheje']","Fran est employée de bureau dans une petite entreprise. D’une timidité maladive, cette célibataire mène une existence dénuée de toute fantaisie, à l'exception de ses étranges rêveries. Mais les choses changent le jour où un nouveau collègue fait mine de s’intéresser à elle…","3,2","3,4"
5 hectares,27 décembre 2023,1h 34min,[],N/A,"['Lambert Wilson', 'Marina Hands']","Qu’est-ce qui conduit un homme établi à mettre en péril son confort, sa carrière et son couple ? La passion, d’autant plus brûlante qu’elle est tardive, pour cinq hectares de terre limousine. Mais la terre se mérite, surtout quand on vient de la ville. Voilà Franck précipité dans la quête du Graal. Il lui faut un tracteur.","2,7","2,2"
