Title,Date,Duration,Note_Imdb,User_score_1,Synopsis
96,2018,2h 38m,"8,5 (36 k)",N/A,Deux amoureux du lycée se rencontrent lors d'une réunion après vingt-deux ans et se remémorent leur passé.
Pauvres créatures,2023,2h 21m,"8,4 (31 k)",87,"L'incroyable histoire de l'évolution fantastique de Bella Baxter, une jeune femme ramenée à la vie par le Dr Godwin Baxter, un scientifique brillant et peu orthodoxe."
Oppenheimer,2023,3h,"8,4 (601 k)",89,L'histoire du scientifique américain J. Robert Oppenheimer et son rôle dans le développement de la bombe atomique.
Joker,2019,2h 2m,"8,4 (1,4 M)",59,"Arthur Fleck, un comédien affligé par des troubles mentaux, se voit mis de côté par la société. S'amorce ensuite une descente aux enfers emplie de révoltes et de crime violents ce qui le confrontera à son alter ego, Le Joker."
Inglourious Basterds,2009,2h 33m,"8,4 (1,6 M)",69,"Dans la France occupée de la Seconde Guerre mondiale, un projet d'assassinat de dirigeants nazis par un groupe de soldats juifs américains coïncide avec les plans de vengeance de la propriétaire d'un cinéma."
Avengers: Endgame,2019,3h 1m,"8,4 (1,2 M)",78,"Après les événements dévastateurs d'Avengers: Infinity War, l'univers est en ruine. Avec l'aide des alliés restants, les Avengers se rassemblent une fois de plus afin d'inverser les actions de Thanos et rétablir l'équilibre dans l'univers."
Aliens : Le Retour,1986,2h 17m,"8,4 (754 k)",84,"Ellen Ripley est sauvée par une équipe de sauvetage en profondeur après 57 ans de sommeil extrême. La lune visitée par le Nostromo a été colonisée, mais tout contact a été perdu. Cette fois, les marines coloniales ont une force de frappe impressionnante, mais cela suffira-t-il?"
The Dark Knight Rises,2012,2h 44m,"8,4 (1,8 M)",78,"Huit ans après que Batman ait pris le blâme pour Harvey Dent, un nouveau terroriste dangereux, appelé Bane, fait son apparition. Le chevalier noir est forcé de reprendre son rôle de justicier."
Memento,2000,1h 53m,"8,4 (1,3 M)",83,Un homme souffrant de perte de la mémoire à court terme tente de retrouver l'assassin de sa femme.
Spider-Man: New Generation,2018,1h 57m,"8,4 (653 k)",87,Spider-Man traverse des dimensions parallèles et fait équipe avec les Spider-Man de ces dimensions pour mettre fin à une menace pour toute l'humanité.
Les Aventuriers de l'arche perdue,1981,1h 55m,"8,4 (1 M)",86,"En 1936, l 'archéologue et aventurier Indiana Jones est engagé par le gouvernement américain pour trouver l'arche de l'alliance avant que les nazis d'Adolf Hitler ne puissent obtenir ses pouvoirs extraordinaires."
Apocalypse Now,1979,2h 27m,"8,4 (702 k)",94,"Pendant la guerre du Vietnam, le capitaine Willard est envoyé en mission au Cambodge pour assassiner un colonel rebelle qui s'est déclaré Dieu parmi une tribu locale."
Shining,1980,2h 26m,"8,4 (1,1 M)",66,"Une famille se rend dans un hôtel isolé pour l'hiver, où une présence spirituelle et maléfique incite le père à la violence, tandis que son fils télépathe fait l'expérience d'horribles visions du passé et du futur."
Amadeus,1984,2h 40m,"8,4 (423 k)",87,"La vie, les triomphes et les tourments de Wolfgang Amadeus Mozart, selon le point de vue du compositeur Antonio Salieri, contemporain de Mozart dont il était extrêmement jaloux et qu'il prétendit avoir assassiné."
Requiem pour un massacre - Va et regarde,1985,2h 22m,"8,4 (94 k)",N/A,"Après avoir trouvé un vieux fusil, un jeune garçon rejoint le mouvement de résistance soviétique contre les forces allemandes impitoyables et vit les horreurs de la Seconde Guerre mondiale."
Avengers: Infinity War,2018,2h 29m,"8,4 (1,2 M)",68,Les Avengers et leurs alliés devront être prêts à tout sacrifier pour tenter de vaincre le redoutable Thanos avant que son attaque éclair ne conduise à la destruction complète de l'univers.
Your Name.,2016,1h 46m,"8,4 (310 k)",81,"Deux étrangers se retrouvent liés d'une étrange manière. Quand une connexion se forme entre eux, la distance sera-t-elle la seule chose qui les séparera?"
3 Idiots,2009,2h 50m,"8,4 (427 k)",67,"""Deux amis sont à la recherche de leur compagnon perdu depuis longtemps. Ils revisitent leurs années d'université et se souviennent des souvenirs de leur ami qui les a inspirés à penser différemment, même si le reste du monde les a traités d'""""idiots""""."""
Coco,2017,1h 45m,"8,4 (575 k)",81,"Miguel, musicien en herbe, entre au pays des morts pour retrouver son arrière-arrière-grand-père, un chanteur légendaire alors qu'il a interdiction de jouer de la musique."
WALL·E,2008,1h 38m,"8,4 (1,2 M)",95,"Dans un avenir lointain, un petit robot collecteur de déchets entreprendra par inadvertance un voyage dans l'espace qui décidera en fin de compte du sort de l'humanité."
La vie des autres,2006,2h 17m,"8,4 (406 k)",89,"En 1984, à Berlin-Est, un agent de la police secrète, qui effectue une surveillance sur un dramaturge et sa compagne, se retrouve de plus en plus absorbé par leur vie."
Dr. Folamour ou : Comment j'ai appris à ne plus m'en faire et à aimer la bombe !,1964,1h 35m,"8,4 (512 k)",97,Un général insensé ouvre la voie à l'holocauste nucléaire qu'une salle de guerre remplie d'hommes politiques et de généraux tentent désespérément de s'arrêter.
Capharnaüm,2018,2h 6m,"8,4 (102 k)",75,"Alors qu'il purge une peine de cinq ans pour un crime violent, un garçon de 12 ans intente un procès contre ses parents pour négligence."
Boulevard du Crépuscule,1950,1h 50m,"8,4 (234 k)",94,Un scénariste est engagé pour retravailler le texte d'une ancienne vedette du cinéma muet qui espère un retour triomphant avec ce rôle. De cette collaboration naquit une dangereuse relation amoureuse.
Le Bateau,1981,2h 29m,"8,4 (262 k)",85,"L'univers claustrophobique d'un sous-marin de guerre allemand. Ennui, crasse et terreur pure."
Témoin à charge,1957,1h 56m,"8,4 (135 k)",76,Un avocat britannique chevronné doit défendre son client dans un procès pour meurtre qui ne cesse de surprendre.
Les sentiers de la gloire,1957,1h 28m,"8,4 (209 k)",90,"Après avoir refusé d'attaquer où l'ennemi était ammassée, un général accuse les soldats de lâcheté et leur officier commandant doit leur défendre."
Le dictateur,1940,2h 5m,"8,4 (235 k)",N/A,"Dans le ghetto juif vit un petit barbier qui ressemble énormément à Adenoid Hynkel, le dictateur de Tomania qui a décidé l'extermination du peuple juif. Au cours d'une rafle, le barbier est arrêté en compagnie de Schultz, un farouche adversaire d'Hynkel..."
Entre le ciel et l'enfer,1963,2h 23m,"8,4 (51 k)",90,"À Yokohama, un malfaiteur kidnappe un enfant, qu'il prend pour le fils d'un industriel japonais. Il s'agit en fait du fils de son chauffeur. Le commissaire Tokura est chargé de l'affaire."
Kaithi,2019,2h 25m,"8,4 (41 k)",N/A,"Une descente de police, un flic blessé et un criminel condamné qui veut rencontrer sa fille pour la première fois ; c'est le récit de ce qui se passe lorsque leurs chemins se croisent dans ce film d'action plein d'émotions."
Sardar Udham,2021,2h 44m,"8,4 (47 k)",N/A,"Le révolutionnaire indien Udham Singh, mieux connu pour l'assassinat de Michael O Dwyer à Londres, qui était à l'origine du massacre de Jallianwala Bagh le 13 avril 1919."
Asuran,2019,2h 21m,"8,4 (33 k)",N/A,"Le fils adolescent d'un fermier d'une caste défavorisée tue un riche propriétaire de la caste supérieure. Le fermier, père aimant et pacifiste convaincu, sera-t-il capable de sauver son fils plus sanguin ?"
Drishyam 2,2021,2h 32m,"8,4 (40 k)",N/A,Le récit captivant d'une enquête et d'une famille menacée par celle-ci. Georgekutty pourra-t-il protéger sa famille cette fois?
Godzilla Minus One,2023,2h 4m,"8,3 (38 k)",80,"Le Japon d'après-guerre est au plus bas lorsqu'une nouvelle crise émerge sous la forme d'un monstre géant, baptisé par l'effroyable puissance de la bombe atomique."
Top Gun: Maverick,2022,2h 10m,"8,3 (664 k)",78,"Après plus de trente ans de service en tant que l'un des meilleurs aviateurs de la Marine, Pete Mitchell est à sa place, étant un pilote d'essai courageux et esquivant l'avancement en grade qui le clouerait au sol."
Heat,1995,2h 50m,"8,3 (708 k)",76,"Un groupe de braqueurs de banque professionnels commence à sentir la chaleur de la police quand, sans le savoir, il laisse un indice à son dernier vol."
Old Boy,2003,2h,"8,3 (624 k)",78,"Après avoir été enlevé et emprisonné pendant quinze ans, Oh Dae-Su est relâché, seulement pour découvrir qu'il doit trouver son ravisseur en cinq jours."
Will Hunting,1997,2h 6m,"8,3 (1 M)",71,"Will Hunting, un employé de ménage à M.I.T., a un don pour les mathématiques, mais a besoin de l'aide d'un psychologue pour trouver sa voie."
Requiem for a Dream,2000,1h 42m,"8,3 (888 k)",71,Les utopies par stupéfiants de quatre habitants de Coney Island sont brisées lorsque leurs addictions s'aggravent.
American Beauty,1999,2h 2m,"8,3 (1,2 M)",84,Un père de banlieue sexuellement frustré entre en pleine crise de la quarantaine après s'être épris de la meilleure amie de sa fille.
Eternal Sunshine of the Spotless Mind,2004,1h 48m,"8,3 (1,1 M)",89,"Lorsque leur relation se dégrade, un couple a recours à une procédure médicale pour effacer tout souvenir de leur relation."
Braveheart,1995,2h 58m,"8,3 (1,1 M)",68,"Lorsque sa fiancée secrète est exécutée pour avoir agressé un soldat anglais ayant tenté de la violer, Sire William Wallace commence une révolte contre le roi Édouard Ier d'Angleterre."
La chasse,2012,1h 55m,"8,3 (358 k)",77,"Un professeur mène une vie esseulé, alors qu'il se bat pour la garde de son fils. Sa vie s'améliore doucement quand il trouve l'amour et de bonnes nouvelle de son fils, mais sa nouvelle chance est sur le point d'être écrasée par un petit mensonge innocent."
Scarface,1983,2h 50m,"8,3 (902 k)",65,"En 1980 à Miami, un immigrant cubain déterminé prend en charge un cartel de drogue et succombe au vice d'avidité."
Orange mécanique,1971,2h 16m,"8,3 (871 k)",77,"Dans un monde du futur, un chef de gang sadique est emprisonné et se porte volontaire pour une expérience, mais tout ne se passe pas comme prévu."
2001 : L'Odyssée de l'espace,1968,2h 29m,"8,3 (709 k)",84,"De la nuit des temps à l'humanité atteignant les étoiles, 2001: L'odyssée de l'espace raconte l'histoire du Monolithe Noir, l'évolution de l'humanité et l'essor du superordinateur ultime HAL 9000 doté d'intelligence artificielle."
Full Metal Jacket,1987,1h 56m,"8,3 (781 k)",78,"Un marine américain pragmatique observe les effets déshumanisants de la guerre du Vietnam sur ses camarades recrues, de leur entraînement violent du camp militaire jusqu'aux combats de rue sanglants à Hue."
Reservoir Dogs,1992,1h 39m,"8,3 (1,1 M)",81,Un chef de la mafia réunit une équipe de six criminels expérimentés dans le but de réaliser un grand braquage de bijouterie.
L'Arnaque,1973,2h 9m,"8,3 (276 k)",83,Deux escrocs font équipe pour réaliser l'arnaque du siècle.
Il était une fois en Amérique,1984,3h 49m,"8,3 (373 k)",75,"Un ancien gangster juif de la période de la prohibition revient à Manhattan plus de trente ans plus tard, où il doit faire affronter les fantômes et les regrets de son passé."
Le Retour du Jedi,1983,2h 11m,"8,3 (1,1 M)",58,"Après une mission risquée qui a permis de sauver Han Solo des mains de Jabba le Hutt, les rebelles se rendent à Endor pour détruire une nouvelle Etoile de la mort, encore plus puissante. Pendant ce temps, Luke se bat pour aider Dark Vador à sortir du côté obscur sans tomber dans le piège de l'Empereur."
Toy Story,1995,1h 21m,"8,3 (1,1 M)",96,"Dans la chambre d'un petit garçon, un cowboy jaloux se sent profondément menacé quand le nouvel astronaute prend sa place de jouet favori."
Princesse Mononoké,1997,2h 14m,"8,3 (425 k)",76,"En quête d'un remède contre la malédiction d'un Tatarigami, Ashitaka se retrouve plongé au coeur d'une guerre entre les dieux de la forêt et Tatara, une colonie minière. Dans cette quête, il fait la rencontre de San, la princesse Mononoke."
Chantons sous la pluie,1952,1h 43m,"8,3 (257 k)",99,Une companie de films meut et ses acteurs font la transistion vers les films 'sonores'
Incendies,2010,2h 11m,"8,3 (194 k)",80,Des jumeaux voyagent au Moyen-Orient pour découvrir leur histoire familiale et exaucer les dernières volontés de leur mère.
Hamilton,2020,2h 40m,"8,3 (110 k)",88,"La vie d'Alexander Hamilton, l'un des premiers pères fondateurs des États-Unis et premier ministre des finances américain. Tourné en direct sur Broadway depuis le Richard Rodgers Theatre avec le casting original de Broadway."
Le fabuleux destin d'Amélie Poulain,2001,2h 2m,"8,3 (787 k)",69,"Amélie, fille innocente et naïve, parisienne, a son propre sens de justice, Elle décide d'aider ceux autour d'elle, et sur le chemin, et trouve l'amour."
Citizen Kane,1941,1h 59m,"8,3 (461 k)",100,"Suite au décès d'un magnat de l'édition, des journalistes se démènent pour découvrir le sens de ses dernières paroles."
Là-haut,2009,1h 36m,"8,3 (1,1 M)",88,"Carl Fredricksen, âgé de soixante-dix-huit ans, se rend en Amérique du Sud dans sa maison équipée de ballons et emmène avec lui un jeune passager clandestin par inadvertance."
