Title,Date,Duration,Note_Imdb,User_score_1,Synopsis
Bons baisers de Bruges,2008,1h 47m,"7,9 (457 k)",67,"Rongé de culpabilité à la suite d'une mission ayant mal tourné, Ray, un tueur à gages, est envoyé à Bruges avec son acolyte afin qu'ils se fassent oublier. Là, ils attendent de nouvelles instructions."
Bohemian Rhapsody,2018,2h 14m,"7,9 (581 k)",49,Une chronique des années qui ont précédé l'apparition légendaire de Queen au concert Live Aid.
E.T. l'extra-terrestre,1982,1h 55m,"7,9 (433 k)",92,Un enfant prend son courage à deux mains et décide d'aider un ami extra-terrestre à s'échapper de la Terre pour rentrer sur sa planète natale.
Shrek,2001,1h 30m,"7,9 (723 k)",84,"Quand son marais se retrouve rempli de créatures magiques, Shrek accepte de sauver la princesse Fiona pour un seigneur malfaiteur afin de récupérer ses terres."
Thor: Ragnarok,2017,2h 10m,"7,9 (805 k)",74,"Thor est retenu prisonnier sur la planète Sakaar, et se retrouve face à une course contre la montre pour retourner à Asgard et arrêter le Ragnarok, qui signifie la destruction de son monde des mains de la puissante et impitoyable Hela."
Fantastic Mr. Fox,2009,1h 27m,"7,9 (265 k)",83,Un renard urbain ne peut échapper à la tentation de retourner à sa ferme et d'aider sa communauté à survivre aux représailles des agriculteurs.
Marriage Story,2019,2h 17m,"7,9 (340 k)",94,Le regard de Noah Baumbach sur la rupture du mariage et le maintien d'une famille.
Shaun of the Dead,2004,1h 39m,"7,9 (587 k)",76,"Un homme décide de reprendre sa vie moribonde en main avec la reconquête de son ex-petite amie, en se réconciliant et en faisant face à toute une communauté revenue d'entre les morts pour manger les vivants."
Wonder,2017,1h 53m,"7,9 (176 k)",66,"Inspiré du best-seller du New York Times, ce film raconte l'histoire incroyablement inspirante et réconfortante d'August Pullman, un petit garçon au visage différent qui entre en CM2 dans une école primaire classique première fois."
District 9,2009,1h 52m,"7,9 (711 k)",81,Une race extraterrestre forcée de vivre dans des conditions insalubres sur Terre trouve soudainement un alter ego dans un agent du gouvernement exposé à sa biotechnologie.
Christmas Story,1983,1h 33m,"7,9 (168 k)",77,"Dans les années 1940, un jeune garçon nommé Ralphie tente de convaincre ses parents, son enseignante et le père Noël de lui offrir le cadeau idéal: la carabine de Red Ryder."
Edward aux mains d'argent,1990,1h 45m,"7,9 (518 k)",74,Un homme docile avec pour mains des paires de ciseaux est amené dans une nouvelle communauté après avoir vécu de manière isolée.
Tigre et dragon,2000,2h,"7,9 (280 k)",94,"Chine, aux temps anciens : un voleur masqué d'une agilité inouïe dérobe la fabuleuse épée 'Destinée'. Yu Shu Lien, experte en arts martiaux, mène l'enquête. Au palais elle rencontre une fillette fragile et calme qu'on vient de fiancer. Si belle, si douce [255]"
Dallas Buyers Club,2013,1h 57m,"7,9 (513 k)",77,"En 1985, à Dallas, Ron Woodroof, électricien et arnaqueur, contourne le système pour aider des patients atteints du SIDA à obtenir les médicaments dont ils ont besoin, après avoir été lui-même diagnostiqué séropositif."
L'Étrange Noël de monsieur Jack,1993,1h 16m,"7,9 (372 k)",82,"Chaque année, Jack organise les festivités de la ville d'Halloween. Lassé de sa fonction, il découvre par hasard une ville hivernale où règne la magie de Noël. Afin d'en faire profiter ses concitoyens, il décide de s'approprier cette fête."
Boyhood,2014,2h 45m,"7,9 (365 k)",100,"La vie de Mason, de sa petite enfance à son arrivée en faculté."
Le docteur Jivago,1965,3h 17m,"7,9 (81 k)",69,"La vie d'un médecin et poète russe qui, bien que marié, tombe amoureux de l'épouse d'un militant politique et connaît les vicissitudes de la Première Guerre mondiale, puis de la Révolution d'Octobre."
L'odyssée de Pi,2012,2h 7m,"7,9 (660 k)",79,"Un jeune homme qui survit à un naufrage en mer est entraîné dans un voyage épique d'aventure et de découverte. Alors qu'il est rejeté, il établit un lien inattendu avec un autre survivant : un redoutable tigre du Bengale."
Brazil,1985,2h 12m,"7,9 (210 k)",84,"Dans un monde rétro-futuriste, un bureaucrate tente de corriger une erreur administrative et devient un ennemi de l'État."
Toy Story 2,1999,1h 32m,"7,9 (613 k)",88,"Lorsque Woody est enlevé par un collectionneur de jouets, Buzz et ses amis promettent de le sauver, mais Woody trouve l'idée de l'immortalité dans un musée tentante."
Indiscrétions,1940,1h 52m,"7,9 (73 k)",96,"Lorsque son ex-mari et un journaliste débarquent juste avant son remariage, une femme riche commence à découvrir la vérité sur son propre compte."
Spartacus,1960,3h 17m,"7,9 (142 k)",87,L'esclave Spartacus mène la révolte violente contre la République Romaine décadente.
L'impasse,1993,2h 24m,"7,9 (230 k)",66,"Un ex-détenu portoricain, qui vient de sortir de prison, se jure de se tenir à distance de la drogue et de la violence malgré la pression de son entourage, et de vivre une vie tranquille en dehors de New York."
Les dix commandements,1956,3h 40m,"7,9 (76 k)",N/A,"Le prince égyptien, Moïse, découvre ses origines juives et sa mission divine comme libérateur de son peuple."
Ghost in the Shell,1995,1h 23m,"7,9 (154 k)",76,"Le major Kusanagi travaille avec son coéquipier Batou, tous deux cyborgs, au sein de la section 9. Ensemble, ils traquent un cybercriminel, du nom du Puppet Master, qui prend possession du Ghost de ses victimes afin d'arriver à ses fins."
Pour une poignée de dollars,1964,1h 39m,"7,9 (230 k)",65,"Un tireur errant et solitaire affronte deux familles rivales dans une ville déchirée par la cupidité, l'orgueil et la vengeance."
Nosferatu le vampire,1922,1h 34m,"7,9 (104 k)",N/A,"Hutter, envoyé par son patron dans les Carpates, doit proposer une nouvelle résidence au comte Orlok. Le vampire, séduit par la photo de l'épouse de son invité, s'embarque pour Wisborg, semant la peste sur son passage."
Les ailes du désir,1987,2h 8m,"7,9 (76 k)",79,Un ange se lasse de superviser les activités humaines et souhaite devenir humain lorsqu'il tombe amoureux d'un mortel.
Dans la chaleur de la nuit,1967,1h 50m,"7,9 (82 k)",76,Un policier afro-américain se voit confier une enquête sur un meurtre dans une ville du sud ouvertement raciste.
Une affaire de famille,2018,2h 1m,"7,9 (85 k)",93,Une famille japonaise avec des revenus insuffisants dépend du vol pour joindre les deux bouts.
The Wrestler,2008,1h 49m,"7,9 (318 k)",80,"Un lutteur professionnel tombé aux oubliettes doit prendre sa retraite, mais sa quête d'une nouvelle vie hors du tapis le conduit à une voie déprimante."
Togo,2019,1h 53m,"7,9 (55 k)",69,"L'histoire du chien de traîneau Togo, qui a mené la course au sérum de 1925, mais qui était aussi considéré par la plupart comme trop petit et trop faible pour mener une course aussi intense."
Before Midnight,2013,1h 49m,"7,9 (170 k)",94,"Revoici Jesse et Céline, neuf ans plus tard en Grèce. Presque deux décennies se sont écoulées depuis leur première rencontre dans le train à destination de Vienne."
Les hommes du président,1976,2h 18m,"7,9 (125 k)",84,"""Les journalistes du """"Washington Post"""" Bob Woodward et Carl Bernstein mettent à jour les détails du scandale du Watergate, qui conduira le président Richard Nixon à sa démission."""
Sing Street,2016,1h 46m,"7,9 (100 k)",79,Un garçon qui a grandi à Dublin dans les années quatre-vingts échappe à sa vie de famille tendue en créant un groupe pour impressionner la mystérieuse fille qu'il aime.
Dancer in the Dark,2000,2h 20m,"7,9 (116 k)",63,"Une jeune fille d'Europe de l'Est part en Amérique avec son jeune fils, s'attendant à ce que ce soit comme un film hollywoodien."
Un tramway nommé désir,1951,2h 2m,"7,9 (113 k)",97,"Blanche DuBois, psychologiquement fragile, emménage chez sa soeur à La Nouvelle-Orléans et est tourmentée par son beau-frère brutal alors que tout s'effondre autour d'elle."
Bienvenue Mister Chance,1979,2h 10m,"7,9 (77 k)",83,Un jardinier simple d'esprit devient un conseiller de confiance improbable pour un homme d'affaires puissant et est initié aux arcanes de la politique de Washington.
Les princes de la ville,1993,3h,"7,9 (34 k)",47,"Inspiré de l'histoire vraie du poète Jimmy Santiago Baca, le film se concentre sur les demi-frères Paco et Cruz, et leur cousin métisse Miklo."
Le lion en hiver,1968,2h 14m,"7,9 (34 k)",N/A,"1183 apr. J.-.C. les trois fils du Roi Henri II veulent tous hériter du trône, mais celui-ci n'arrive pas à se décider. Ceux-ci et sa femme ourdissent différents complots pour le forcer à choisir."
Le Guépard,1963,3h 6m,"7,9 (28 k)",100,"Le prince de Salina, noble aristocrate d'une intégrité irréprochable, tente de préserver sa famille et sa classe en pleine période des tumultueux mouvements sociaux de la Sicile des années 1860."
Hero,2002,2h,"7,9 (187 k)",85,"Protégé par son armée, le Roi de Qin (l'unificateur de la Chine), semble hors d'atteinte de qui voudrait l'abattre. Mais pour avoir vaincu ses trois ennemis les plus redoutables, Sans Nom obtient le privilège de l'approcher à 10 pas."
Le grand sommeil,1946,1h 54m,"7,9 (90 k)",86,"Le détective privé Philip Marlowe est engagé par une famille riche. Avant que l'affaire complexe ne trouve son dénouement, il y aura des meurtres, du chantage et peut-être même de l'amour."
States of Grace,2013,1h 36m,"7,9 (91 k)",82,"Une employée d'un établissement de traitement résidentiel, qui compte une vingtaine d'employés, navigue dans les eaux troublées de ce monde aux côtés de son collègue de travail et de son petit ami de longue date."
La Horde sauvage,1969,2h 25m,"7,9 (90 k)",98,Un groupe de hors-la-loi vieillissants cherchent à faire un dernier braquage alors que le Far West traditionnel commence à disparaître autour d'eux.
Un crime dans la tête,1962,2h 6m,"7,9 (79 k)",94,Un ancien prisonnier de guerre subit un lavage de cerveau et devient malgré lui l'assassin involontaire d'une conspiration communiste internationale.
King Kong,1933,1h 40m,"7,9 (90 k)",92,"Une équipe cinématographique se rend sur «Skull Island» au large de Sumatra. L'île est peuplée d'animaux préhistoriques et d'indigènes qui vénèrent un gorille géant, Kong. Ceux-ci capturent la femme de l'équipe pour l'offrir à Kong."
The Raid 2,2014,2h 30m,"7,9 (130 k)",71,"Peu de temps après le premier raid, Rama s'infiltre chez les criminels de Jakarta et projette de démolir le syndicat et de dévoiler la corruption au sein de sa police."
The Artist,2011,1h 40m,"7,9 (247 k)",89,Une star de cinéma égocentrique se met en relation avec un jeune danseur sur fond de l'ère du silence à Hollywood.
La Corde,1948,1h 20m,"7,9 (152 k)",73,Deux hommes tentent de prouver qu'ils ont commis le crime parfait en organisant un dîner après avoir étranglé à mort leur ancien camarade de classe.
Les enchaînés,1946,1h 42m,"7,9 (106 k)",100,Une femme est invitée à espionner une bande d'amis nazis en Amérique du Sud. Jusqu'où devra-t-elle aller pour entrer dans leurs bonnes grâces?
Harold et Maude,1971,1h 31m,"7,9 (81 k)",62,"Jeune, riche et obsédé par la mort, Harold est changé à jamais par sa rencontre Maude, une septuagénaire optimiste, lors d'un enterrement."
L'Inconnu du Nord-Express,1951,1h 41m,"7,9 (140 k)",88,Un psychopathe force une star du tennis à se conformer à sa théorie selon laquelle deux inconnus peuvent tuer sans se faire prendre.
Patton,1970,2h 52m,"7,9 (107 k)",86,La phase de la Seconde Guerre mondiale de la carrière du général américain controversé George S. Patton.
Le Miracle sur la 34ème rue,1947,1h 36m,"7,9 (55 k)",88,"Quand un vieil homme sympathique dit être le père Noël et se retrouve interné et traité de fou, un jeune avocat décide de le défendre."
L'ultime razzia,1956,1h 24m,"7,9 (96 k)",91,Un truand monte une équipe de cinq hommes dans le but de planifier et d'exécuter un audacieux braquage pendant une course de chevaux.
Trois couleurs: Bleu,1993,1h 34m,"7,9 (109 k)",87,Une femme s'efforce de continuer à vivre après le décès de son mari et de leur enfant.
My Name Is Khan,2010,2h 45m,"7,9 (115 k)",50,Un Indien musulman atteint du syndrome d'Asperger relève le défi de parler sérieusement au président des États-Unis et entreprend un voyage à travers le pays.
Les aventures de Robin des Bois,1938,1h 42m,"7,9 (54 k)",97,"Lorsque le prince Jean et les seigneurs normands commencent à opprimer les saxons en l'absence du roi Richard, un seigneur saxon se défend en tant que chef hors-la-loi d'une armée rebelle."
Locataires,2004,1h 28m,"7,9 (58 k)",72,Un jeune vagabond s'introduit dans des maisons vides pour prendre part à la vie des résidents en vacances pendant quelques jours.
Head-On,2004,2h 1m,"7,9 (57 k)",78,"Dans l'intention de s'affranchir des restrictions familiales strictes, une jeune femme suicidaire organise un mariage de convenance avec un toxicomane de quarante ans, acte qui va conduire à une explosion d'amour envieux."
Amour,2012,2h 5m,"7,9 (105 k)",95,"Georges et Anne, professeurs de musique cultivés à la retraite, forment un couple d'octogénaires. Leur fille, aussi musicienne, vit en Angleterre avec sa famille. Un jour, Anne a une attaque et le lien du couple est poussé à ses limites."
Le roman de Mildred Pierce,1945,1h 51m,"7,9 (28 k)",88,Une mère travaillant dur frôle la catastrophe alors qu'elle divorce de son mari et démarre une entreprise de restauration prospère pour soutenir sa fille gâtée.
L'âme des guerriers,1994,1h 42m,"7,9 (36 k)",77,Une famille descendant de guerriers maoris est rejetée par la société et accablée par un père violent.
Parle avec elle,2002,1h 52m,"7,9 (117 k)",86,"Marco, un garçon inoffensif, s'éprend à distance d'une jeune fille. Lorsque celle-ci tombe dans un coma profond après un accident, il se fait employer comme infirmier ; ainsi chaque jour Marco lui parle tout en massant son corps. Elle, qu 'entend t-elle ? [en 255 car. pour champ texte]"
A Taxi Driver,2017,2h 17m,"7,9 (30 k)",69,Un père veuf et chauffeur de taxi qui conduit un journaliste allemand de Séoul à Gwangju pour couvrir le soulèvement de 1980 regrette vite sa décision quand il se retrouve mêlé à la violence des évènements.
De sang-froid,1967,2h 14m,"7,9 (29 k)",89,"Après qu'un cambriolage bâclé ayant mené au meurtre brutal d'une famille, deux vagabonds échappent à la police, finissant par accepter leur propre mortalité et les répercussions de leur horrible acte."
Arsenic et vieilles dentelles,1944,1h 58m,"7,9 (74 k)",N/A,Un auteur de livres sur la futilité du mariage met sa réputation en péril après il décide de se marier. Les choses se compliquent encore quand il apprend le jour de son mariage que ses tantes célibataires sont des assassins en série.
La Chatte sur un toit brûlant,1958,1h 48m,"7,9 (53 k)",84,"Brick, ancien joueur de football américain alcoolique, boit à longueur de journée et résiste à l'affection de sa femme, Maggie. Ses retrouvailles avec son père, Big Daddy, qui se meurt d'un cancer, font ressurgir tout un tas de souvenirs et de révélations chez le père comme chez le fils."
L'introuvable,1934,1h 31m,"7,9 (32 k)",86,"L'ancien détective Nick Charles et sa riche épouse Nora enquêtent sur une affaire de meurtre, principalement pour le plaisir."
Le sacrifice,1986,2h 29m,"7,9 (31 k)",N/A,"À l'aube de la Troisième Guerre mondiale, un homme cherche un moyen de rétablir la paix dans le monde et découvre qu'il doit donner quelque chose en retour."
Harvey,1950,1h 44m,"7,9 (58 k)",N/A,"Parce qu'il insiste pour avoir un lapin invisible de deux mètres de haut comme meilleur ami, un homme d'âge mûr et fantasque est considéré par sa famille comme fou - mais il est peut-être plus sage que quiconque ne le pense."
New York masala,2003,3h 6m,"7,9 (75 k)",54,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her."
Nostalghia,1983,2h 5m,"7,9 (30 k)",N/A,Un poète russe et son interprète se rendent en Italie pour étudier la vie d'un compositeur du XVIIIe siècle.
"Kagemusha, l'ombre du guerrier",1980,3h,"7,9 (38 k)",84,"Un larron ressemblant comme deux gouttes d'eau à un grand seigneur est épargné pour jouer la doublure du samouraï. À la mort de ce dernier, il est contraint de prendre les armes à sa place."
Le conformiste,1970,1h 53m,"7,9 (33 k)",100,"Un Italien de faible caractère devient un laquais des fascistes envoyé à l'étranger pour assassiner son ancien professeur, aujourd'hui dissident politique."
Le violent,1950,1h 34m,"7,9 (35 k)",N/A,Un scénariste potentiellement violent est suspecté de meurtre jusqu'à ce que son adorable voisine l'innocente. Mais elle commence à avoir des doutes.
Gully Boy,2019,2h 34m,"7,9 (43 k)",65,Une histoire de passage à l'âge adulte basée sur la vie de rappeurs de rue à Mumbai.
Laura,1944,1h 28m,"7,9 (51 k)",N/A,Un inspecteur de police tombe amoureux de la femme dont il enquête le meurtre.
Les neuf reines,2000,1h 54m,"7,9 (56 k)",80,Deux escrocs tentent de duper un collectionneur de timbres en lui vendant une feuille de timbres rares falsifiée (les « neuf reines »).
Godfrey,1936,1h 34m,"7,9 (26 k)",82,"Un mondain écervelé embauche un vagabond comme majordome familial, mais Godfrey est bien plus qu'il n'y paraît."
Super 30,2019,2h 34m,"7,9 (36 k)",N/A,"Inspiré de la vie du mathématicien Anand Kumar basé à Patna, qui dirige le célèbre programme Super 30 pour les aspirants à l'IIT à Patna."
Jab We Met,2007,2h 18m,"7,9 (58 k)",N/A,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.
Le poison,1945,1h 41m,"7,9 (40 k)",N/A,La vie désespérée d'un alcoolique chronique au cours d'une beuverie de quatre jours.
Le cercle rouge,1970,2h 20m,"7,9 (28 k)",92,"Après être sorti de prison, le voleur professionnel Corey rencontre un fugitif célèbre et un ancien policier alcoolique. Le trio planifie un cambriolage."
Le cuirassé Potemkine,1925,1h 15m,"7,9 (61 k)",97,"Au milieu de la révolution russe de 1905, l'équipage du cuirassé Potemkine se révolte contre le régime brutal et tyrannique des officiers du navire. La manifestation de rue qui en résulte à Odessa entraîne un massacre par la police."
"4 mois, 3 semaines, 2 jours",2007,1h 53m,"7,9 (63 k)",97,Une femme aide son amie à organiser un avortement illégal dans les années 1980 en Roumanie.
Au premier regard,2014,1h 36m,"7,9 (27 k)",71,"Leonardo est un adolescent aveugle en quête d'indépendance. Son quotidien, sa relation avec sa meilleure amie Giovanna et la façon dont il perçoit le monde changent complètement à l'arrivée de Gabriel."
À propos d'Elly,2009,1h 59m,"7,9 (57 k)",87,"Après la mystérieuse disparition d'une institutrice de maternelle lors d'un pique-nique dans le nord de l'Iran, ses compagnons de voyage connaissent une série de mésaventures."
Règlement de comptes,1953,1h 29m,"7,9 (29 k)",N/A,"Un policier à la peau dure, Dave Bannion s'attaque à un syndicat du crime puissant dans le milieu politique."
Le retour,2003,1h 50m,"7,9 (47 k)",82,"Dans le désert russe, deux frères font face à un spectre d'émotions nouvelles et conflictuelles lorsque leur père, un homme qu'ils ne connaissent qu'à travers une photographie, refait surface."
No Man's Land,2001,1h 38m,"7,9 (49 k)",84,"Bosnie-Herzégovine en 1993, à l'époque des combats les plus violents entre les deux camps. Deux soldats des deux camps opposés, Nino et Ciki, se retrouvent coincés dans le no man's land, tandis qu'un troisième soldat se retrouve piégé."
Ascenseur pour l'échafaud,1958,1h 31m,"7,9 (28 k)",94,"Un homme d'affaires sûr de lui assassine son employeur, le mari de sa maîtresse, et déclenche involontairement une chaîne d'événements malheureux."
La Belle et la Bête,1946,1h 36m,"7,9 (28 k)",92,"Pris dans une tempête, le père de Belle trouve refuge au château de la Bête, mais, le moment du départ venu, il cueille une rose pour sa fille. Courroucé, son hôte lui laisse la vie sauve à la condition que Belle devienne sa captive."
La règle du jeu,1939,1h 50m,"7,9 (31 k)",99,"La vie huppée en France au tout début de la Seconde Guerre mondiale, alors que nobles et domestiques se réunissent dans un château français."
À travers le miroir,1961,1h 30m,"7,9 (27 k)",84,"Sortie récemment d'un hôpital psychiatrique, Karin retrouve sa famille affectivement déconnectée et leur maison sur une île, uniquement pour perdre pied avec la réalité en commençant à croire que Dieu se manifeste à elle."
Baby,2015,2h 39m,"7,9 (60 k)",N/A,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India."
Les voyages de Sullivan,1941,1h 30m,"7,9 (28 k)",N/A,"Un réalisateur de comédies prend la route, vêtu comme un vagabond pour découvrir la vie, ce qui lui offre un réveil brutal."
Padman,2018,2h 20m,"7,9 (29 k)",N/A,"Upon realizing the extent to which women are affected by their menses, a man sets out to create a sanitary pad machine and to provide inexpensive sanitary pads to the women of rural India."
Badhaai ho,2018,2h 4m,"7,9 (38 k)",N/A,Un homme est gêné dans sa communauté lorsqu'il apprend que sa mère est enceinte.
Airlift,2016,2h 10m,"7,9 (59 k)",N/A,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen."
Dev.D,2009,2h 24m,"7,9 (32 k)",N/A,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?"
Anatomie d'une chute,2023,2h 31m,"7,8 (39 k)",86,"Alors qu'une femme est suspectée du meurtre de son mari, son fils aveugle est placé face à un dilemme moral en tant qu'unique témoin."
Everything Everywhere All at Once,2022,2h 19m,"7,8 (507 k)",81,"Dans l'ascenseur menant au contrôle fiscal de leur laverie, Waymond, qui adopte un comportement bizarre, explique à sa femme qu'elle seule peut sauver l'univers en utilisant les aptitudes de ses doubles provenant de mondes parallèles."
The Batman,2022,2h 56m,"7,8 (762 k)",72,"Lorsque le Riddler, un tueur en série maniaque, commence à assassiner des personnalités politiques clés à Gotham, Batman est obligé d'enquêter sur la corruption cachée de la ville et de remettre en question l'implication de sa famille."
Willy Wonka au pays enchanté,1971,1h 40m,"7,8 (222 k)",67,Un jeune garçon pauvre mais plein d'espoir recherche l'un des cinq tickets d'or très convoités qui lui permettront de visiter la mystérieuse chocolaterie de Willy Wonka.
Les Filles du Docteur March,2019,2h 15m,"7,8 (237 k)",91,Quatre soeurs grandissent dans l'Amérique du lendemain de la guerre civile.
Dunkerque,2017,1h 46m,"7,8 (725 k)",94,"À Dunkerque, des soldats britanniques, français et belges sont encerclés par l'armée allemande et évacués dans l'une des entreprises les plus ambitieuses de la Seconde Guerre mondiale."
Orgueil et préjugés,2005,2h 9m,"7,8 (324 k)",82,"La rencontre entre la fervente Elizabeth Bennet et le riche, célibataire et fier M. Darcy fait des étincelles, mais elle est d'une classe inférieure à la sienne. Pourront-ils surmonter leur orgueil et leurs préjugés?"
The Gentlemen,2019,1h 53m,"7,8 (381 k)",51,Un baron de la drogue britannique tente de vendre son empire à une dynastie de milliardaires de l'Oklahoma.
Tombstone,1993,2h 10m,"7,8 (163 k)",50,Un avocat ayant réussit à prendre sa retraite anonymement à Tombstone en Arizona voit ses projets perturbés par le genre de hors-la-loi qu'il avait pour habitude d'éliminer éliminait. était réputé pour son élimination.
Call Me by Your Name,2017,2h 12m,"7,8 (306 k)",94,"Dans les années 1980, une romance s'épanouit entre un élève de dix-sept ans et un homme plus âgé embauché comme assistant de recherche de son père."
N'oublie jamais,2004,2h 3m,"7,8 (609 k)",53,"Un jeune homme pauvre et passionné tombe amoureux d'une jeune femme aisée, lui donnant un sentiment de liberté, mais ils sont bientôt séparés en raison de leurs différences sociales."
Le Hobbit: Un Voyage Inattendu,2012,2h 49m,"7,8 (864 k)",58,"Le réticent hobbit, Bilbon Sacquet, part pour la Montagne solitaire avec un groupe impétueux de nains pour reconquérir leur montagne et l'or qu'elle renferme des griffes du dragon Smaug."
Get Out,2017,1h 44m,"7,8 (680 k)",85,"Un jeune Afro-Américain rend visite aux parents de sa petite amie blanche pour le week-end, où ses inquiétudes quant à leur accueil atteint un point de non-retour."
Les 8 Salopards,2015,2h 48m,"7,8 (649 k)",68,"En plein milieu de l'hiver dans le Wyoming, un chasseur de primes et son prisonnier trouvent refuge dans un chalet habité par une bande de personnages néfastes."
Drive,2011,1h 40m,"7,8 (694 k)",79,"Un mécanicien, cascadeur à Hollywood le jour et chauffeur la nuit, tombe amoureux de sa voisine de palier. Lorsque le mari de cette dernière sort de prison, il décide de l'aider à s'acquitter d'une dette en participant à un braquage."
Mary Poppins,1964,2h 19m,"7,8 (184 k)",88,"Au tournant du siècle dernier, une nounou magique emploie musique et aventure pour aider deux enfants délaissés à se rapprocher de leur père."
Il était temps,2013,2h 3m,"7,8 (380 k)",55,"À l'âge de 21 ans, Tim découvre qu'il peut voyager dans le temps et changer ce qui a pu se passer dans sa vie. Sa décision de rendre son monde meilleur en trouvant une petite amie n'est pas aussi simple qu'on le pense."
Breakfast Club,1985,1h 37m,"7,8 (431 k)",66,Cinq lycéens se retrouvent en colle un samedi et découvrent qu'ils ont beaucoup plus en commun qu'ils ne le pensaient.
The Irishman,2019,3h 29m,"7,8 (424 k)",94,Un tueur à gages de la mafia soupçonné d'avoir été impliqué dans le meurtre de Jimmy Hoffa se souvient des évènements.
The Big Short: Le casse du siècle,2015,2h 10m,"7,8 (475 k)",81,"En 2006-2007, un groupe d'investisseurs a parié contre le marché hypothécaire américain. Dans leurs recherches, ils découvrent combien le marché est faussé et corrompu."
"A l'Ouest, rien de nouveau",2022,2h 28m,"7,8 (235 k)",76,Les expériences terrifiantes et la détresse d'un jeune soldat allemand sur le front de l'Ouest pendant la Première Guerre mondiale.
Millénium: Les hommes qui n'aimaient pas les femmes,2011,2h 38m,"7,8 (489 k)",71,"Le journaliste Mikael Blomkvist, à la recherche d'une femme disparue depuis quarante ans, est aidé par Lisbeth Salander, une jeune pirate informatique."
Le Chat potté 2 : La Dernière Quête,2022,1h 42m,"7,8 (167 k)",73,Le Chat potté découvre que sa passion pour l'aventure a fait des ravages : il a épuisé huit de ses neuf vies. Notre héros se lance alors dans un voyage épique à la recherche de la légendaire Étoile à Vœu afin de retrouver sa jeunesse.
S.O.S fantômes,1984,1h 45m,"7,8 (440 k)",71,Trois anciens professeurs de parapsychologie ouvrent leurs portes en tant que service unique d'élimination de fantômes.
Le Hobbit: La Désolation de Smaug,2013,2h 41m,"7,8 (697 k)",66,"Les nains, ainsi que Bilbo Baggins et Gandalf le Gris, poursuivent leur quête pour récupérer Erebor, leur patrie, des griffes de Smaug. Bilbo Baggins est en possession d'une mystérieuse bague magique."
Rogue One: A Star Wars story,2016,2h 13m,"7,8 (678 k)",65,La fille d'un scientifique impérial se joint à l'Alliance Rebelle dans une tentative risquée pour voler les plans de l'Étoile de la mort.
Star Wars : Épisode VII - Le Réveil de la Force,2015,2h 18m,"7,8 (966 k)",80,"Trente ans après la défaite de l'Empire, une nouvelle menace apparaît au sein du Premier Ordre. Le Stormtrooper déserteur Finn et Rey se retrouvent impliqués par la Résistance dans la recherche de Luke Skywalker."
American Gangster,2007,2h 37m,"7,8 (448 k)",76,"Un policier exclu de la ville de New York est accusé d'avoir abattu un 'baron de la drogue' à Harlem, Frank Lucas, dont la vie réelle a inspiré ce film en partie biographique."
Reviens-moi,2007,2h 3m,"7,8 (296 k)",85,"La jeune écrivaine Briony Tallis, âgée de treize ans, change irrévocablement le cours de plusieurs vies lorsqu'elle accuse l'amant de sa soeur aînée d'un crime qu'il n'a pas commis."
Il était une fois le Bronx,1993,2h 1m,"7,8 (158 k)",80,Un père s'inquiète lorsqu'un gangster local devient ami avec son fils dans le Bronx des années 1960.
La folle journée de Ferris Bueller,1986,1h 43m,"7,8 (382 k)",61,"Un lycéen est déterminé à avoir un jour de congé, malgré ce que le directeur en pense."
RRR,2022,3h 7m,"7,8 (163 k)",83,Une histoire fictive sur deux révolutionnaires légendaires et leur voyage loin de chez eux avant qu'ils ne commencent à se battre pour leur pays dans les années 1920.
Les Figures de l'ombre,2016,2h 7m,"7,8 (251 k)",74,L'histoire d'une équipe de mathématiciennes afro-américaines qui ont joué un rôle essentiel à la NASA au cours des premières années du programme spatial américain.
L'étrange histoire de Benjamin Button,2008,2h 46m,"7,8 (688 k)",70,"L'histoire de Benjamin Button, un homme qui se met à vieillir à l'envers avec des conséquences surprenantes."
The Social Network,2010,2h,"7,8 (749 k)",95,"Mark Zuckerberg, étudiant à Harvard, crée le site de réseau social qui deviendra Facebook, mais il se retrouve poursuivi en justice par deux frères qui l'accusent d'avoir volé leur idée ainsi que par le co-fondateur de Facebook qui fut par la suite évincé de l'entreprise."
Apocalypto,2006,2h 19m,"7,8 (328 k)",68,"Alors que le royaume maya est confronté à son déclin, un jeune homme est embarqué dans un voyage périlleux vers un monde régi par la peur et l'oppression."
Predator,1987,1h 47m,"7,8 (448 k)",47,"Le major Dutch et son équipe partent en mission dans la jungle d'Amérique centrale afin de délivrer des otages. Sur place, ils sont attaqués par un mystérieux ennemi extraterrestre qui les élimine un par un."
